X,Y,PDV/ HIBRI,MARCA (IZZ,REGI�N O,HUB,CADENA,IZ_ID PDV,Nombre del,Direcci�,LATITUD,LONGITUD,ESTATUS,icon_url
19.6710112,-99.2048451,PDV,IZZI,METROPOLITANA,CUAUTITLAN,WALMART,IZ-01241,WM SAN MARCOS IZCALLI,"AVENIDA CHALMA 281 , COL. JARDINES DE LA HACIENDA , CUAUTITLAN IZCALLI C.P. 54720, ENTRE LAS CALLES DE ESQUINA AUTOPISTA MEXICO-QUERETARO Y PASEO DE LAS HACIENDAS , CUAUTITLAN IZCALLI ESTADO DE MEXICO",19.671011199999999,-99.204845100000000,ABIERTO,./0.png
19.3609006,-99.1928014,PDV,IZZI,METROPOLITANA,CENTRO DE ACOPIO,WALMART,IZ-02504,WM PORTAL SAN ANGEL (BARRANC DEL MUERTO),"AV. REVOLUCION NUM 1083, LOS ALPES C.P. 01010, ALVARO OBREGON,CIUDAD DE MEXICO",19.360900600000001,-99.192801399999993,ABIERTO,./0.png
19.3614826,-99.2244195,PDV,IZZI,METROPOLITANA,CENTRO DE ACOPIO,WALMART,IZ-02929,WM PORTAL CENTENARIO (COLINAS DE TARANGO),"PROLONGACION 5 DE MAYO NUM 3121, EX HACIENDA DE TARANGO, C.P. 01610, ALVARO OBREGON, CIUDAD DE MEXICO",19.361482599999999,-99.224419499999996,ABIERTO,./0.png
19.258068,-99.6930581,PDV,IZZI,METROPOLITANA,TOLUCA,WALMART,IZ-02928,WM METEPEC,"LEONA VICARIO NUM 502 COL. LA PURISIMA, C.P. 52840, METEPEC, ESTADO DE MEXICO",19.258068000000002,-99.693058100000002,ABIERTO,./0.png
19.470785,-99.1185177,PDV,IZZI,METROPOLITANA,ARAGON,WALMART,IZ-02686,SAMS TEPEYAC,"AV. FERROCARRIL HIDALGO NO. 431 COL. GUADALUPE TEPEYAC, DELG. GUSTAVO A. MADERO MEXICO, D.F CP 07840",19.470784999999999,-99.118517699999998,ABIERTO,./0.png
19.29927588,-98.88599145,PDV,IZZI,METROPOLITANA,IXTAPALUCA,WALMART,IZ-02249,WM IXTAPALUCA,"CARRETERA MEXICO- CUAUTLA LOC. 3A Y 3B S/N COL. HACIENDA DE SANTA BARBARA C.P. 56530, IXTAPALUCA, MEXICO ENTRE LA ESPINITA E IXTAPALUCA",19.299275880000000,-98.885991450000006,ABIERTO,./0.png
19.3930886,-99.1565085,PDV,IZZI,METROPOLITANA,VALLE,WALMART,IZ-02788,WM EXPRESS NARVARTE,"PEDRO ROMERO DE TERREROS NUM 1461, COL. NARVARTE, MEXICO, CIUDAD DE MEXICO, C.P. 03020, BENITO JUAREZ",19.393088599999999,-99.156508500000001,ABIERTO,./0.png
19.57963068,-99.21108982,PDV,IZZI,METROPOLITANA,TLANEPLANTLA,WALMART,IZ-03392,WALMART LAGO DE GUADALUPE,"CARRETERA LAGO DE GUADALUPE, 3, COL. SAN PEDRO BARRIENTOS, C.P. 54010, TLALNEPANTLA DE BAZ, ESTADO DE MEXICO",19.579630680000001,-99.211089819999998,ABIERTO,./0.png
26.93268834,-105.6641972,PDV,IZZI,PACIFICO,PARRAL,Coppel,IZ-03402,COPPEL 20 DE NOVIEMBRE,"AVENIDA 20 DE NOVIEMBRE # 32 COLONIA �CENTRO ENTRE C. COLEGIO Y CALLE TRASERA, CHIHUAHUA, PARRAL,CP 33800",26.932688339999999,-105.664197200000004,ABIERTO,./0.png
28.39822454,-106.8771976,PDV,IZZI,PACIFICO,CUAUHTEMOC,Coppel,IZ-03401,COPPEL BAEZA,"BOULEVARD FERNANDO BAEZA �#2850 LOTE 1-B MANZANA 77 COLONIA BARRIO LERDO ENTRE CALLE RIO CONCHOS Y CALLE 36, CHIHUAHUA, CD. CUAUHT�MOC, CP 31520",28.398224540000001,-106.877197600000002,ABIERTO,./0.png
16.85642714,-99.90297209,PDV,IZZI,OCCIDENTE,ACAPULCO,Coppel,IZ-02062,COPPEL BAHIA (178),"AV. AQUILES SERDAN NUM 509 COL. ACAPULCO DE JUAREZ, CENTRO, ACAPULCO DE JUAREZ, GUERRERO, C.P. 39300 (COPPEL BAHIA)",16.856427140000001,-99.902972090000006,ABIERTO,./0.png
20.67312567,-103.4032391,PDV,IZZI,OCCIDENTE,GUADALAJARA,CINEPOLIS,IZ-03256,CINEPOLIS LA GRAN PLAZA,"CINEPOLIS LA GRAN PLAZA, AV. VALLARTA NUM 3959, COL. DON BOSCO, MUNICIPIO DE ZAPOPAN, C.P. 45049, JALISCO",20.673125670000001,-103.403239099999993,ABIERTO,./0.png
19.4728999,-99.1926141,PDV,IZZI,METROPOLITANA,SATELITE,WALMART,IZ-02252,WM AZCAPOTZALCO,"AV. NEXTENGO NUM 78 COL. SANTA CRUZ, CAYUCAN C.P. 02270, CIUDAD DE MEXICO",19.472899900000002,-99.192614100000000,ABIERTO,./0.png
